cell_id,UMAP_1,UMAP_2,leiden,treatment_group,perturbation,dose_value,percent_mito,ngenes,cell_line,disease
C11_A01_RT_503,1.0605094,7.4365087,1,BMS,BMS,10.0,3.920486,1226,A549,lung adenocarcinoma
C11_B02_RT_463,0.73920345,7.941325,1,BMS,BMS,100.0,7.106227,938,A549,lung adenocarcinoma
C11_B02_RT_593,4.629744,1.4226396,3,BMS,BMS,50.0,16.437744,3607,A549,lung adenocarcinoma
C11_B02_RT_619,1.9068809,8.090191,1,BMS,BMS,50.0,5.62463,1135,A549,lung adenocarcinoma
C11_B02_RT_702,2.1363537,8.466448,1,BMS,BMS,10.0,5.783582,767,A549,lung adenocarcinoma
C12_A01_RT_546,5.05094,3.6083357,5,BMS,BMS,10.0,14.695102,1730,A549,lung adenocarcinoma
C12_B02_RT_388,9.57513,-1.6237962,0,BMS,BMS,10.0,7.762557,1324,A549,lung adenocarcinoma
C12_B02_RT_622,5.6860313,3.3666961,5,BMS,BMS,10.0,10.659186,3059,A549,lung adenocarcinoma
C12_B02_RT_629,-0.2412,7.572088,1,BMS,BMS,10.0,3.6630037,770,A549,lung adenocarcinoma
C12_B02_RT_665,9.346924,-1.6473206,0,BMS,BMS,10.0,7.1051564,1428,A549,lung adenocarcinoma
C12_B02_RT_716,-1.2190382,6.971646,1,BMS,BMS,10.0,7.2115383,744,A549,lung adenocarcinoma
D01_A01_RT_515,8.363072,0.35771245,0,BMS,BMS,100.0,14.832853,2381,A549,lung adenocarcinoma
D01_A01_RT_623,6.1167083,1.7107447,3,BMS,BMS,50.0,12.092878,3130,A549,lung adenocarcinoma
D01_B02_RT_400,0.41516924,8.902121,1,BMS,BMS,50.0,3.768506,977,A549,lung adenocarcinoma
D01_B02_RT_423,8.874717,-2.009715,0,BMS,BMS,10.0,10.530035,862,A549,lung adenocarcinoma
D01_B02_RT_635,-0.18269514,7.7784405,1,BMS,BMS,50.0,2.9723992,991,A549,lung adenocarcinoma
D02_A01_RT_567,9.685332,-2.6488245,0,BMS,BMS,10.0,8.72434,857,A549,lung adenocarcinoma
