group,names,scores,logfoldchanges,pvals,pvals_adj
0,USP9Y,1.9988183,,0.045628024815395,0.22154837374416078
0,ARL4D,1.9982803,,0.04568627647879158,0.22154837374416078
0,HPGDS,1.9930912,,0.046251458470952724,0.22343699744421608
0,PLCG2,1.9537933,,0.05072567368114804,0.24155082705308592
0,SENP7,1.8809085,,0.0599843727644362,0.281616773541954
0,JDP2,1.8753555,,0.060743835553629985,0.28451445224182664
0,PMAIP1,1.8550737,,0.06358570713324087,0.2971294725852377
0,ENSG00000274712,1.8491094,,0.0644420227315044,0.29978817674322067
0,LINC02256,1.8486031,,0.06451514353673714,0.29978817674322067
0,IRF7,1.8200155,,0.06875663453428361,0.3175826075486541
0,SCN3A,1.8100328,,0.07029069076726908,0.32392023395054875
0,ERO1B,1.7931999,,0.07294096415523006,0.3338259229072314
0,ARHGEF35-AS1,1.7760664,,0.07572197831918373,0.34497484427874137
0,RASD1,1.7580943,,0.07873145766671126,0.3554467614749944
0,CCDC88B,1.7382714,,0.08216301579935766,0.36844401703747826
0,KLF2-DT,1.7267224,,0.08421752991979867,0.37513376356257755
0,FAM151B-DT,1.7146513,,0.0864091579146705,0.383189170353306
0,LRRC8C,1.6795775,,0.09303955225055627,0.4098658689451818
0,ATP6V1E2,1.6412287,,0.10074994544841134,0.43899758365320846
0,GAS7,1.6263417,,0.10387698875944076,0.45153622090917733
0,LILRB2,1.6176405,,0.10574010845976238,0.4538202079818128
0,ATP10D,1.6008391,,0.1094125546552054,0.46757501989404016
0,DPEP2,1.5781527,,0.11453055403693463,0.48693135519611863
0,ARHGAP29,1.5775356,,0.11467233414868593,0.48693135519611863
0,CACNA1A,1.5761751,,0.11498546549463151,0.48722654870606574
0,SLC2A3,1.5095868,,0.13114889029541354,0.5464537095642231
0,MBNL2,1.507451,,0.13169508310675138,0.5475887031465754
0,ZFYVE16,1.493007,,0.1354353599448375,0.5608089438709627
0,RGS3,1.4556866,,0.1454792893789887,0.5984757758884262
0,TAGAP,1.4379518,,0.150447721316174,0.6145423662002644
0,CNN3,1.4305637,,0.15255530142973694,0.6164767170683864
0,CXCL3,1.4071178,,0.15939246466659673,0.6375698586663869
0,NR1H3,1.40552,,0.1598667295358428,0.6381905370692327
0,GATD3,1.40147,,0.16107360596066767,0.6417275137875206
0,SPAG1,1.3767267,,0.16859675654242534,0.6637667580410447
0,ARMCX2,1.3741322,,0.1694006568862796,0.6656214415963835
0,JAM2,1.3728665,,0.16979384500570094,0.6658582157086311
0,TSPAN33,1.3549736,,0.17542596770047203,0.6825913140096188
0,EOLA1-DT,1.3517936,,0.17644132242292498,0.6852090191181552
0,TSPAN7,1.3275884,,0.1843141145370516,0.7116375078650641
0,LTB,1.3175266,,0.1876621674595057,0.7203921975412887
0,C2CD2,1.2933214,,0.1958999463358735,0.7448667161059828
0,TP53I11,1.289999,,0.19705099250944358,0.7478216034513987
0,IER3,1.2587062,,0.20813647195766627,0.7795373481560534
0,OTUD1,1.2504637,,0.2111301907630576,0.7877992192651403
0,KLF7,1.2459866,,0.21276932921344827,0.7924369803107942
0,SMIM14,1.243218,,0.2137875178109192,0.7947491368435657
0,PDGFRB,1.2239013,,0.22098949329345097,0.8199395753043913
0,PDGFA,1.1767563,,0.23929279105490475,0.8765303701644862
0,ACY3,1.1754116,,0.2398301016327019,0.8768925105400435
0,ZNF608,1.173434,,0.24062180838928837,0.8781817824426582
0,NFATC4,1.1632457,,0.24472985549891424,0.8883116352047703
0,SDR42E2,1.1539749,,0.24851047764968304,0.8987720710657614
0,ATOSA,1.1385499,,0.2548909253811572,0.911953221399489
0,ZNF821,1.0919112,,0.2748721112948007,0.972779343072046
0,LRRN1,1.0909462,,0.275296554089389,0.972779343072046
0,HVCN1,1.0852509,,0.27781057015689603,0.9799314643982224
0,ENSG00000230303,1.0792074,,0.28049526571307537,0.9864193655365404
0,HCK,1.0755845,,0.28211309846882704,0.9898705209432529
0,EFNA3,1.0730375,,0.2832543080743516,0.9921341788944015
0,PARD6G-AS1,1.0665827,,0.2861603065218131,0.9961214327800678
0,ZC3H6,1.0639724,,0.28734122655209327,0.9961214327800678
0,TCF4,1.0633079,,0.2876423487546057,0.9961214327800678
0,MSMP,1.0521703,,0.29272142497160014,0.999949508446688
0,MX1,1.0519329,,0.29283029508728875,0.999949508446688
0,NCF1,1.0424724,,0.29719273194320517,0.999949508446688
0,TNNI2,1.0355114,,0.3004301601796314,0.999949508446688
0,FCMR,1.0331541,,0.3015317788647687,0.999949508446688
0,ENSG00000255240,1.0319043,,0.3021169482005388,0.999949508446688
0,CLSTN3,1.030259,,0.302888449170437,0.999949508446688
0,LNCRNA-IUR,1.013078,,0.3110229161782171,0.999949508446688
0,OTULINL,1.002067,,0.3163112594961549,0.999949508446688
0,TCP11L2,0.9968462,,0.3188391681754684,0.999949508446688
0,CALCOCO1,0.99447316,,0.31999257800669556,0.999949508446688
0,BTN3A3,0.9913565,,0.32151152939896743,0.999949508446688
0,GSAP,0.9727991,,0.3306531469161098,0.999949508446688
0,MTA3,0.96849597,,0.33279673288712464,0.999949508446688
0,LINC00324,0.9672303,,0.3334289031711809,0.999949508446688
0,IL10RA,0.96577483,,0.33415685628646163,0.999949508446688
0,BCL2A1,0.96237344,,0.33586204354046645,0.999949508446688
0,TTN,0.95069796,,0.34175772119409853,0.999949508446688
0,LINC01597,0.9499386,,0.34214345993272244,0.999949508446688
0,ENSG00000262482,0.9246101,,0.3551687819715924,0.999949508446688
0,CMTM2,0.91255486,,0.361476696758953,0.999949508446688
0,DSEL,0.9101027,,0.3627683479780154,0.999949508446688
0,ATP2B1-AS1,0.88839704,,0.3743272086404196,0.999949508446688
0,FBLN5,0.88795406,,0.3745654509559275,0.999949508446688
0,GABARAPL1,0.884173,,0.3766028327456208,0.999949508446688
0,LINC00865,0.87214947,,0.3831268472327065,0.999949508446688
0,GIMAP4,0.8696498,,0.3844917979136576,0.999949508446688
0,ZNF462,0.86014175,,0.3897109139576883,0.999949508446688
